"","sex","age","year","population","citizenship"
"127","Maschi",15,2025,267833,"italiani"
"128","Maschi",15,2026,264274,"italiani"
"129","Maschi",16,2019,267926,"italiani"
"130","Maschi",16,2020,270146,"italiani"
"131","Maschi",16,2021,271441,"italiani"
"132","Maschi",16,2022,270474,"italiani"
"133","Maschi",16,2023,271898,"italiani"
"134","Maschi",16,2024,271467,"italiani"
"135","Maschi",16,2025,271435,"italiani"
"136","Maschi",16,2026,268707,"italiani"
"137","Maschi",17,2019,270907,"italiani"
"138","Maschi",17,2020,268320,"italiani"
"139","Maschi",17,2021,270468,"italiani"
"140","Maschi",17,2022,273695,"italiani"
"141","Maschi",17,2023,271749,"italiani"
"142","Maschi",17,2024,273168,"italiani"
"143","Maschi",17,2025,272481,"italiani"
"144","Maschi",17,2026,272316,"italiani"
"145","Maschi",18,2019,278523,"italiani"
"146","Maschi",18,2020,274307,"italiani"
"147","Maschi",18,2021,270360,"italiani"
"148","Maschi",18,2022,273142,"italiani"
"149","Maschi",18,2023,277969,"italiani"
"150","Maschi",18,2024,277498,"italiani"
"151","Maschi",18,2025,278654,"italiani"
"152","Maschi",18,2026,273298,"italiani"
"153","Maschi",19,2019,273873,"italiani"
"154","Maschi",19,2020,280184,"italiani"
"155","Maschi",19,2021,273755,"italiani"
"156","Maschi",19,2022,271911,"italiani"
"157","Maschi",19,2023,276311,"italiani"
"158","Maschi",19,2024,280897,"italiani"
"159","Maschi",19,2025,279920,"italiani"
"160","Maschi",19,2026,279427,"italiani"
"161","Maschi",20,2019,273512,"italiani"
"162","Maschi",20,2020,273510,"italiani"
"163","Maschi",20,2021,277451,"italiani"
"164","Maschi",20,2022,273665,"italiani"
"165","Maschi",20,2023,272601,"italiani"
"166","Maschi",20,2024,276540,"italiani"
"167","Maschi",20,2025,280698,"italiani"
"168","Maschi",20,2026,280637,"italiani"
"169","Maschi",21,2019,270789,"italiani"
"170","Maschi",21,2020,273277,"italiani"
"171","Maschi",21,2021,269062,"italiani"
"172","Maschi",21,2022,276272,"italiani"
"173","Maschi",21,2023,274301,"italiani"
"174","Maschi",21,2024,272896,"italiani"
"175","Maschi",21,2025,276892,"italiani"
"176","Maschi",21,2026,281557,"italiani"
"177","Maschi",22,2019,270769,"italiani"
