"","year","age","median","source","low90","high90"
"1",2026,0,"382.029","UN","382.029","460.1925"
"2",2026,1,"386.33850000000001","UN","386.33850000000001","465.42899999999997"
"3",2026,2,"389.36950000000002","UN","389.36950000000002","429.15449999999998"
"4",2026,3,"399.25549999999998","UN","399.25549999999998","399.25549999999998"
"5",2026,4,"412.524","UN","412.524","412.524"
"6",2026,5,"417.24950000000001","UN","417.24950000000001","417.24950000000001"
"7",2026,6,"422.36599999999999","UN","422.36599999999999","422.36599999999999"
"8",2026,7,"437.48450000000003","UN","437.48450000000003","437.48450000000003"
"9",2026,8,"458.23899999999998","UN","458.23899999999998","458.23899999999998"
"10",2026,9,"476.0455","UN","476.0455","476.0455"
"11",2026,10,"487.41199999999998","UN","487.41199999999998","487.41199999999998"
"12",2026,11,"498.43","UN","498.43","498.43"
"13",2026,12,"508.98099999999999","UN","508.98099999999999","508.98099999999999"
"14",2026,13,"523.50300000000004","UN","523.50300000000004","523.50300000000004"
"15",2026,14,"538.88599999999997","UN","538.88599999999997","538.88599999999997"
"16",2026,15,"551.80700000000002","UN","551.80700000000002","551.80700000000002"
"17",2026,16,"566.36099999999999","UN","566.36099999999999","566.36099999999999"
"18",2026,17,"579.149","UN","579.149","579.149"
"19",2026,18,"590.51800000000003","UN","590.51800000000003","590.51800000000003"
"20",2026,19,"601.26099999999997","UN","601.26099999999997","601.26099999999997"
"21",2026,20,"610.72349999999994","UN","610.72349999999994","610.72349999999994"
"22",2026,21,"619.923","UN","619.923","619.923"
"23",2026,22,"623.904","UN","623.904","623.904"
"24",2026,23,"618.39049999999997","UN","618.39049999999997","618.39049999999997"
"25",2026,24,"616.30799999999999","UN","616.30799999999999","616.30799999999999"
"26",2026,25,"622.30899999999997","UN","622.30899999999997","622.30899999999997"
"27",2026,26,"623.07050000000004","UN","623.07050000000004","623.07050000000004"
"28",2026,27,"620.42750000000001","UN","620.42750000000001","620.42750000000001"
"29",2026,28,"617.40949999999998","UN","617.40949999999998","617.40949999999998"
"30",2026,29,"614.09349999999995","UN","614.09349999999995","614.09349999999995"
"31",2026,30,"614.10699999999997","UN","614.10699999999997","614.10699999999997"
"32",2026,31,"615.32500000000005","UN","615.32500000000005","615.32500000000005"
"33",2026,32,"622.66099999999994","UN","622.66099999999994","622.66099999999994"
"34",2026,33,"645.03750000000002","UN","645.03750000000002","645.03750000000002"
"35",2026,34,"662.56299999999999","UN","662.56299999999999","662.56299999999999"
"36",2026,35,"670.75450000000001","UN","670.75450000000001","670.75450000000001"
"37",2026,36,"674.13049999999998","UN","674.13049999999998","674.13049999999998"
"38",2026,37,"680.28800000000001","UN","680.28800000000001","680.28800000000001"
"39",2026,38,"665.298","UN","665.298","665.298"
"40",2026,39,"650.26","UN","650.26","650.26"
"41",2026,40,"664.41399999999999","UN","664.41399999999999","664.41399999999999"
"42",2026,41,"678.99249999999995","UN","678.99249999999995","678.99249999999995"
"43",2026,42,"696.07299999999998","UN","696.07299999999998","696.07299999999998"
"44",2026,43,"715.66449999999998","UN","715.66449999999998","715.66449999999998"
"45",2026,44,"739.83349999999996","UN","739.83349999999996","739.83349999999996"
"46",2026,45,"753.40650000000005","UN","753.40650000000005","753.40650000000005"
"47",2026,46,"766.65899999999999","UN","766.65899999999999","766.65899999999999"
"48",2026,47,"792.32899999999995","UN","792.32899999999995","792.32899999999995"
"49",2026,48,"824.33550000000002","UN","824.33550000000002","824.33550000000002"
"50",2026,49,"857.95050000000003","UN","857.95050000000003","857.95050000000003"
"51",2026,50,"892.678","UN","892.678","892.678"
"52",2026,51,"922.86300000000006","UN","922.86300000000006","922.86300000000006"
"53",2026,52,"936.50049999999999","UN","936.50049999999999","936.50049999999999"
"54",2026,53,"941.74649999999997","UN","941.74649999999997","941.74649999999997"
"55",2026,54,"950.5915","UN","950.5915","950.5915"
"56",2026,55,"952.60900000000004","UN","952.60900000000004","952.60900000000004"
"57",2026,56,"947.702","UN","947.702","947.702"
"58",2026,57,"957.92399999999998","UN","957.92399999999998","957.92399999999998"
"59",2026,58,"963.41549999999995","UN","963.41549999999995","963.41549999999995"
"60",2026,59,"955.90250000000003","UN","955.90250000000003","955.90250000000003"
"61",2026,60,"961.67200000000003","UN","961.67200000000003","961.67200000000003"
"62",2026,61,"957.52700000000004","UN","957.52700000000004","957.52700000000004"
"63",2026,62,"932.0865","UN","932.0865","932.0865"
"64",2026,63,"902.14250000000004","UN","902.14250000000004","902.14250000000004"
"65",2026,64,"862.34500000000003","UN","862.34500000000003","862.34500000000003"
