"","sex","age","year","population","citizenship"
"188","Maschi",23,2022,41630,"stranieri"
"189","Maschi",23,2023,39656,"stranieri"
"190","Maschi",23,2024,38494,"stranieri"
"191","Maschi",23,2025,37215,"stranieri"
"192","Maschi",23,2026,39979,"stranieri"
"193","Maschi",24,2019,39197,"stranieri"
"194","Maschi",24,2020,39212,"stranieri"
"195","Maschi",24,2021,43992,"stranieri"
"196","Maschi",24,2022,41099,"stranieri"
"197","Maschi",24,2023,44382,"stranieri"
"198","Maschi",24,2024,43996,"stranieri"
"199","Maschi",24,2025,44320,"stranieri"
"200","Maschi",24,2026,42653,"stranieri"
"201","Maschi",25,2019,38788,"stranieri"
"202","Maschi",25,2020,39545,"stranieri"
"203","Maschi",25,2021,44080,"stranieri"
"204","Maschi",25,2022,41531,"stranieri"
"205","Maschi",25,2023,44008,"stranieri"
"206","Maschi",25,2024,49224,"stranieri"
"207","Maschi",25,2025,49648,"stranieri"
"208","Maschi",25,2026,50119,"stranieri"
"209","Maschi",26,2019,42366,"stranieri"
"210","Maschi",26,2020,39437,"stranieri"
"211","Maschi",26,2021,44143,"stranieri"
"212","Maschi",26,2022,41827,"stranieri"
"213","Maschi",26,2023,44817,"stranieri"
"214","Maschi",26,2024,48390,"stranieri"
"215","Maschi",26,2025,54913,"stranieri"
"216","Maschi",26,2026,55855,"stranieri"
"217","Maschi",27,2019,42166,"stranieri"
"218","Maschi",27,2020,43021,"stranieri"
"219","Maschi",27,2021,43478,"stranieri"
"220","Maschi",27,2022,42177,"stranieri"
"221","Maschi",27,2023,45018,"stranieri"
"222","Maschi",27,2024,49225,"stranieri"
"223","Maschi",27,2025,53672,"stranieri"
"224","Maschi",27,2026,61106,"stranieri"
"225","Maschi",28,2019,47695,"stranieri"
"226","Maschi",28,2020,42944,"stranieri"
"227","Maschi",28,2021,47164,"stranieri"
"228","Maschi",28,2022,41738,"stranieri"
"229","Maschi",28,2023,45298,"stranieri"
"230","Maschi",28,2024,49108,"stranieri"
"231","Maschi",28,2025,54160,"stranieri"
"232","Maschi",28,2026,59927,"stranieri"
"233","Maschi",29,2019,49138,"stranieri"
"234","Maschi",29,2020,48218,"stranieri"
"235","Maschi",29,2021,46016,"stranieri"
"236","Maschi",29,2022,45217,"stranieri"
"237","Maschi",29,2023,44638,"stranieri"
"238","Maschi",29,2024,49269,"stranieri"
"239","Maschi",29,2025,53576,"stranieri"
"240","Maschi",29,2026,60317,"stranieri"
"241","Maschi",30,2019,52836,"stranieri"
"242","Maschi",30,2020,49555,"stranieri"
"243","Maschi",30,2021,51287,"stranieri"
"244","Maschi",30,2022,44138,"stranieri"
"245","Maschi",30,2023,48034,"stranieri"
"246","Maschi",30,2024,48291,"stranieri"
"247","Maschi",30,2025,53182,"stranieri"
"248","Maschi",30,2026,59454,"stranieri"
"249","Maschi",31,2019,54533,"stranieri"
"250","Maschi",31,2020,53155,"stranieri"
"251","Maschi",31,2021,51872,"stranieri"
"252","Maschi",31,2022,49308,"stranieri"
"253","Maschi",31,2023,46685,"stranieri"
"254","Maschi",31,2024,51515,"stranieri"
"255","Maschi",31,2025,51909,"stranieri"
"256","Maschi",31,2026,58754,"stranieri"
"257","Maschi",32,2019,55666,"stranieri"
"258","Maschi",32,2020,54765,"stranieri"
"259","Maschi",32,2021,55403,"stranieri"
"260","Maschi",32,2022,50044,"stranieri"
"261","Maschi",32,2023,51678,"stranieri"
"262","Maschi",32,2024,49458,"stranieri"
"263","Maschi",32,2025,54841,"stranieri"
"264","Maschi",32,2026,57162,"stranieri"
"265","Maschi",33,2019,55646,"stranieri"
"266","Maschi",33,2020,55794,"stranieri"
"267","Maschi",33,2021,56936,"stranieri"
"268","Maschi",33,2022,53998,"stranieri"
"269","Maschi",33,2023,52101,"stranieri"
"270","Maschi",33,2024,54556,"stranieri"
"271","Maschi",33,2025,52288,"stranieri"
"272","Maschi",33,2026,59502,"stranieri"
"273","Maschi",34,2019,56769,"stranieri"
"274","Maschi",34,2020,55704,"stranieri"
"275","Maschi",34,2021,57539,"stranieri"
"276","Maschi",34,2022,55283,"stranieri"
"277","Maschi",34,2023,55740,"stranieri"
"278","Maschi",34,2024,54636,"stranieri"
"279","Maschi",34,2025,57320,"stranieri"
"280","Maschi",34,2026,56586,"stranieri"
"281","Maschi",35,2019,55382,"stranieri"
"282","Maschi",35,2020,56742,"stranieri"
"283","Maschi",35,2021,57270,"stranieri"
"284","Maschi",35,2022,56005,"stranieri"
"285","Maschi",35,2023,56809,"stranieri"
"286","Maschi",35,2024,58211,"stranieri"
"287","Maschi",35,2025,56859,"stranieri"
"288","Maschi",35,2026,60819,"stranieri"
"289","Maschi",36,2019,58100,"stranieri"
"290","Maschi",36,2020,55271,"stranieri"
"291","Maschi",36,2021,58041,"stranieri"
"292","Maschi",36,2022,55880,"stranieri"
"293","Maschi",36,2023,57087,"stranieri"
"294","Maschi",36,2024,58753,"stranieri"
"295","Maschi",36,2025,60267,"stranieri"
"296","Maschi",36,2026,59888,"stranieri"
"297","Maschi",37,2019,56890,"stranieri"
"298","Maschi",37,2020,57867,"stranieri"
"299","Maschi",37,2021,56816,"stranieri"
"300","Maschi",37,2022,56478,"stranieri"
"301","Maschi",37,2023,56786,"stranieri"
