"","origine","sex","age","year","emigrati"
"537","Paesi esteri","Totale","40-64 anni",2010,8286
"538","Paesi esteri","Totale","40-64 anni",2011,9880
"539","Paesi esteri","Totale","40-64 anni",2012,12116
"540","Paesi esteri","Totale","40-64 anni",2013,14145
"541","Paesi esteri","Totale","40-64 anni",2014,15213
"542","Paesi esteri","Totale","40-64 anni",2015,14574
"543","Paesi esteri","Totale","40-64 anni",2016,14273
"544","Paesi esteri","Totale","40-64 anni",2017,14008
"545","Paesi esteri","Totale","40-64 anni",2018,14224
"546","Paesi esteri","Totale","40-64 anni",2019,20844
"547","Paesi esteri","Totale","40-64 anni",2020,13524
"548","Paesi esteri","Totale","40-64 anni",2021,20851
"549","Paesi esteri","Totale","40-64 anni",2022,17223
"550","Paesi esteri","Totale","40-64 anni",2023,14808
"551","Paesi esteri","Totale","40-64 anni",2024,16534
"552","Paesi esteri","Totale","40-64 anni",2025,12424
"553","Paesi esteri","Totale","65 anni e più",2002,462
"554","Paesi esteri","Totale","65 anni e più",2003,559
"555","Paesi esteri","Totale","65 anni e più",2004,676
"556","Paesi esteri","Totale","65 anni e più",2005,712
"557","Paesi esteri","Totale","65 anni e più",2006,735
"558","Paesi esteri","Totale","65 anni e più",2007,705
"559","Paesi esteri","Totale","65 anni e più",2008,938
"560","Paesi esteri","Totale","65 anni e più",2009,1076
"561","Paesi esteri","Totale","65 anni e più",2010,1338
"562","Paesi esteri","Totale","65 anni e più",2011,1667
"563","Paesi esteri","Totale","65 anni e più",2012,1873
"564","Paesi esteri","Totale","65 anni e più",2013,3091
"565","Paesi esteri","Totale","65 anni e più",2014,3014
"566","Paesi esteri","Totale","65 anni e più",2015,3025
"567","Paesi esteri","Totale","65 anni e più",2016,3002
"568","Paesi esteri","Totale","65 anni e più",2017,3111
"569","Paesi esteri","Totale","65 anni e più",2018,3409
"570","Paesi esteri","Totale","65 anni e più",2019,4521
"571","Paesi esteri","Totale","65 anni e più",2020,4306
"572","Paesi esteri","Totale","65 anni e più",2021,7044
"573","Paesi esteri","Totale","65 anni e più",2022,6410
"574","Paesi esteri","Totale","65 anni e più",2023,7344
"575","Paesi esteri","Totale","65 anni e più",2024,7851
"576","Paesi esteri","Totale","65 anni e più",2025,8269
"577","Totale","Maschi","Fino a 17 anni",2002,3509
"578","Totale","Maschi","Fino a 17 anni",2003,4165
"579","Totale","Maschi","Fino a 17 anni",2004,3665
"580","Totale","Maschi","Fino a 17 anni",2005,4512
"581","Totale","Maschi","Fino a 17 anni",2006,4938
"582","Totale","Maschi","Fino a 17 anni",2007,4335
"583","Totale","Maschi","Fino a 17 anni",2008,5095
"584","Totale","Maschi","Fino a 17 anni",2009,5537
"585","Totale","Maschi","Fino a 17 anni",2010,6527
"586","Totale","Maschi","Fino a 17 anni",2011,7566
"587","Totale","Maschi","Fino a 17 anni",2012,8748
"588","Totale","Maschi","Fino a 17 anni",2013,11147
"589","Totale","Maschi","Fino a 17 anni",2014,13105
"590","Totale","Maschi","Fino a 17 anni",2015,14609
"591","Totale","Maschi","Fino a 17 anni",2016,15149
"592","Totale","Maschi","Fino a 17 anni",2017,14374
"593","Totale","Maschi","Fino a 17 anni",2018,14036
"594","Totale","Maschi","Fino a 17 anni",2019,13835
"595","Totale","Maschi","Fino a 17 anni",2020,14164
"596","Totale","Maschi","Fino a 17 anni",2021,13686
"597","Totale","Maschi","Fino a 17 anni",2022,11344
"598","Totale","Maschi","Fino a 17 anni",2023,10684
"599","Totale","Maschi","Fino a 17 anni",2024,12292
"600","Totale","Maschi","Fino a 17 anni",2025,8590
"601","Totale","Maschi","18-39 anni",2002,12450
"602","Totale","Maschi","18-39 anni",2003,13604
"603","Totale","Maschi","18-39 anni",2004,14218
"604","Totale","Maschi","18-39 anni",2005,14244
"605","Totale","Maschi","18-39 anni",2006,14823
"606","Totale","Maschi","18-39 anni",2007,14512
"607","Totale","Maschi","18-39 anni",2008,17928
"608","Totale","Maschi","18-39 anni",2009,18587
"609","Totale","Maschi","18-39 anni",2010,18164
"610","Totale","Maschi","18-39 anni",2011,21768
"611","Totale","Maschi","18-39 anni",2012,28139
"612","Totale","Maschi","18-39 anni",2013,33348
"613","Totale","Maschi","18-39 anni",2014,35569
"614","Totale","Maschi","18-39 anni",2015,37754
"615","Totale","Maschi","18-39 anni",2016,42186
"616","Totale","Maschi","18-39 anni",2017,41622
"617","Totale","Maschi","18-39 anni",2018,42904
"618","Totale","Maschi","18-39 anni",2019,50754
"619","Totale","Maschi","18-39 anni",2020,42549
"620","Totale","Maschi","18-39 anni",2021,43465
"621","Totale","Maschi","18-39 anni",2022,42545
"622","Totale","Maschi","18-39 anni",2023,46241
"623","Totale","Maschi","18-39 anni",2024,54998
"624","Totale","Maschi","18-39 anni",2025,40251
"625","Totale","Maschi","40-64 anni",2002,6185
"626","Totale","Maschi","40-64 anni",2003,7545
"627","Totale","Maschi","40-64 anni",2004,7677
"628","Totale","Maschi","40-64 anni",2005,8332
"629","Totale","Maschi","40-64 anni",2006,9199
"630","Totale","Maschi","40-64 anni",2007,7511
"631","Totale","Maschi","40-64 anni",2008,8846
"632","Totale","Maschi","40-64 anni",2009,9312
"633","Totale","Maschi","40-64 anni",2010,9721
"634","Totale","Maschi","40-64 anni",2011,12115
"635","Totale","Maschi","40-64 anni",2012,16746
"636","Totale","Maschi","40-64 anni",2013,19086
"637","Totale","Maschi","40-64 anni",2014,20296
"638","Totale","Maschi","40-64 anni",2015,21869
"639","Totale","Maschi","40-64 anni",2016,22136
"640","Totale","Maschi","40-64 anni",2017,21487
"641","Totale","Maschi","40-64 anni",2018,22020
"642","Totale","Maschi","40-64 anni",2019,25554
"643","Totale","Maschi","40-64 anni",2020,21884
"644","Totale","Maschi","40-64 anni",2021,22084
"645","Totale","Maschi","40-64 anni",2022,20365
"646","Totale","Maschi","40-64 anni",2023,21155
"647","Totale","Maschi","40-64 anni",2024,25527
"648","Totale","Maschi","40-64 anni",2025,19279
"649","Totale","Maschi","65 anni e più",2002,1342
"650","Totale","Maschi","65 anni e più",2003,1963
"651","Totale","Maschi","65 anni e più",2004,2043
"652","Totale","Maschi","65 anni e più",2005,2311
"653","Totale","Maschi","65 anni e più",2006,2821
"654","Totale","Maschi","65 anni e più",2007,1577
"655","Totale","Maschi","65 anni e più",2008,1799
"656","Totale","Maschi","65 anni e più",2009,1698
"657","Totale","Maschi","65 anni e più",2010,1752
"658","Totale","Maschi","65 anni e più",2011,2365
"659","Totale","Maschi","65 anni e più",2012,3358
"660","Totale","Maschi","65 anni e più",2013,3748
"661","Totale","Maschi","65 anni e più",2014,3607
"662","Totale","Maschi","65 anni e più",2015,4090
"663","Totale","Maschi","65 anni e più",2016,3775
"664","Totale","Maschi","65 anni e più",2017,4126
"665","Totale","Maschi","65 anni e più",2018,4018
"666","Totale","Maschi","65 anni e più",2019,4171
"667","Totale","Maschi","65 anni e più",2020,3734
"668","Totale","Maschi","65 anni e più",2021,3949
"669","Totale","Maschi","65 anni e più",2022,4187
"670","Totale","Maschi","65 anni e più",2023,4980
"671","Totale","Maschi","65 anni e più",2024,5007
"672","Totale","Maschi","65 anni e più",2025,5144
"673","Totale","Femmine","Fino a 17 anni",2002,3269
"674","Totale","Femmine","Fino a 17 anni",2003,3855
"675","Totale","Femmine","Fino a 17 anni",2004,3484
"676","Totale","Femmine","Fino a 17 anni",2005,4314
"677","Totale","Femmine","Fino a 17 anni",2006,4659
"678","Totale","Femmine","Fino a 17 anni",2007,4138
"679","Totale","Femmine","Fino a 17 anni",2008,4938
"680","Totale","Femmine","Fino a 17 anni",2009,5422
"681","Totale","Femmine","Fino a 17 anni",2010,6037
"682","Totale","Femmine","Fino a 17 anni",2011,7391
"683","Totale","Femmine","Fino a 17 anni",2012,8340
"684","Totale","Femmine","Fino a 17 anni",2013,10789
"685","Totale","Femmine","Fino a 17 anni",2014,12531
"686","Totale","Femmine","Fino a 17 anni",2015,13508
"687","Totale","Femmine","Fino a 17 anni",2016,14196
"688","Totale","Femmine","Fino a 17 anni",2017,13452
"689","Totale","Femmine","Fino a 17 anni",2018,13229
"690","Totale","Femmine","Fino a 17 anni",2019,13798
"691","Totale","Femmine","Fino a 17 anni",2020,14031
"692","Totale","Femmine","Fino a 17 anni",2021,12854
"693","Totale","Femmine","Fino a 17 anni",2022,10781
"694","Totale","Femmine","Fino a 17 anni",2023,10253
"695","Totale","Femmine","Fino a 17 anni",2024,11634
"696","Totale","Femmine","Fino a 17 anni",2025,8250
"697","Totale","Femmine","18-39 anni",2002,9336
"698","Totale","Femmine","18-39 anni",2003,10088
"699","Totale","Femmine","18-39 anni",2004,10952
"700","Totale","Femmine","18-39 anni",2005,11676
"701","Totale","Femmine","18-39 anni",2006,12304
"702","Totale","Femmine","18-39 anni",2007,11646
"703","Totale","Femmine","18-39 anni",2008,14168
"704","Totale","Femmine","18-39 anni",2009,14916
"705","Totale","Femmine","18-39 anni",2010,14962
"706","Totale","Femmine","18-39 anni",2011,18306
"707","Totale","Femmine","18-39 anni",2012,23307
"708","Totale","Femmine","18-39 anni",2013,27341
"709","Totale","Femmine","18-39 anni",2014,29999
"710","Totale","Femmine","18-39 anni",2015,32441
"711","Totale","Femmine","18-39 anni",2016,36850
"712","Totale","Femmine","18-39 anni",2017,36987
"713","Totale","Femmine","18-39 anni",2018,37369
"714","Totale","Femmine","18-39 anni",2019,43703
"715","Totale","Femmine","18-39 anni",2020,38619
"716","Totale","Femmine","18-39 anni",2021,35085
"717","Totale","Femmine","18-39 anni",2022,34451
"718","Totale","Femmine","18-39 anni",2023,37770
"719","Totale","Femmine","18-39 anni",2024,48465
"720","Totale","Femmine","18-39 anni",2025,35267
"721","Totale","Femmine","40-64 anni",2002,4173
"722","Totale","Femmine","40-64 anni",2003,5377
"723","Totale","Femmine","40-64 anni",2004,5735
"724","Totale","Femmine","40-64 anni",2005,6154
"725","Totale","Femmine","40-64 anni",2006,6749
"726","Totale","Femmine","40-64 anni",2007,5548
"727","Totale","Femmine","40-64 anni",2008,7042
"728","Totale","Femmine","40-64 anni",2009,7626
"729","Totale","Femmine","40-64 anni",2010,8404
"730","Totale","Femmine","40-64 anni",2011,10429
"731","Totale","Femmine","40-64 anni",2012,14181
"732","Totale","Femmine","40-64 anni",2013,16021
"733","Totale","Femmine","40-64 anni",2014,17087
"734","Totale","Femmine","40-64 anni",2015,18258
"735","Totale","Femmine","40-64 anni",2016,18715
"736","Totale","Femmine","40-64 anni",2017,18823
"737","Totale","Femmine","40-64 anni",2018,19068
"738","Totale","Femmine","40-64 anni",2019,22741
"739","Totale","Femmine","40-64 anni",2020,19250
"740","Totale","Femmine","40-64 anni",2021,20179
"741","Totale","Femmine","40-64 anni",2022,19582
"742","Totale","Femmine","40-64 anni",2023,18978
"743","Totale","Femmine","40-64 anni",2024,22258
"744","Totale","Femmine","40-64 anni",2025,18069
"745","Totale","Femmine","65 anni e più",2002,1492
"746","Totale","Femmine","65 anni e più",2003,2109
"747","Totale","Femmine","65 anni e più",2004,2136
"748","Totale","Femmine","65 anni e più",2005,2388
"749","Totale","Femmine","65 anni e più",2006,2914
"750","Totale","Femmine","65 anni e più",2007,1846
"751","Totale","Femmine","65 anni e più",2008,1855
"752","Totale","Femmine","65 anni e più",2009,1823
"753","Totale","Femmine","65 anni e più",2010,1934
"754","Totale","Femmine","65 anni e più",2011,2521
"755","Totale","Femmine","65 anni e più",2012,3397
"756","Totale","Femmine","65 anni e più",2013,4255
"757","Totale","Femmine","65 anni e più",2014,4134
"758","Totale","Femmine","65 anni e più",2015,4426
"759","Totale","Femmine","65 anni e più",2016,4058
"760","Totale","Femmine","65 anni e più",2017,4239
"761","Totale","Femmine","65 anni e più",2018,4316
"762","Totale","Femmine","65 anni e più",2019,4949
"763","Totale","Femmine","65 anni e più",2020,5653
"764","Totale","Femmine","65 anni e più",2021,7010
"765","Totale","Femmine","65 anni e più",2022,6934
"766","Totale","Femmine","65 anni e più",2023,8377
"767","Totale","Femmine","65 anni e più",2024,8722
"768","Totale","Femmine","65 anni e più",2025,9307
"769","Totale","Totale","Fino a 17 anni",2002,6778
"770","Totale","Totale","Fino a 17 anni",2003,8020
"771","Totale","Totale","Fino a 17 anni",2004,7149
"772","Totale","Totale","Fino a 17 anni",2005,8826
"773","Totale","Totale","Fino a 17 anni",2006,9597
"774","Totale","Totale","Fino a 17 anni",2007,8473
"775","Totale","Totale","Fino a 17 anni",2008,10033
"776","Totale","Totale","Fino a 17 anni",2009,10959
"777","Totale","Totale","Fino a 17 anni",2010,12564
"778","Totale","Totale","Fino a 17 anni",2011,14957
"779","Totale","Totale","Fino a 17 anni",2012,17088
"780","Totale","Totale","Fino a 17 anni",2013,21936
"781","Totale","Totale","Fino a 17 anni",2014,25636
"782","Totale","Totale","Fino a 17 anni",2015,28117
"783","Totale","Totale","Fino a 17 anni",2016,29345
"784","Totale","Totale","Fino a 17 anni",2017,27826
"785","Totale","Totale","Fino a 17 anni",2018,27265
"786","Totale","Totale","Fino a 17 anni",2019,27633
"787","Totale","Totale","Fino a 17 anni",2020,28195
"788","Totale","Totale","Fino a 17 anni",2021,26540
"789","Totale","Totale","Fino a 17 anni",2022,22125
"790","Totale","Totale","Fino a 17 anni",2023,20937
"791","Totale","Totale","Fino a 17 anni",2024,23926
"792","Totale","Totale","Fino a 17 anni",2025,16840
"793","Totale","Totale","18-39 anni",2002,21786
"794","Totale","Totale","18-39 anni",2003,23692
"795","Totale","Totale","18-39 anni",2004,25170
"796","Totale","Totale","18-39 anni",2005,25920
"797","Totale","Totale","18-39 anni",2006,27127
"798","Totale","Totale","18-39 anni",2007,26158
"799","Totale","Totale","18-39 anni",2008,32096
"800","Totale","Totale","18-39 anni",2009,33503
"801","Totale","Totale","18-39 anni",2010,33126
"802","Totale","Totale","18-39 anni",2011,40074
"803","Totale","Totale","18-39 anni",2012,51446
"804","Totale","Totale","18-39 anni",2013,60689
"805","Totale","Totale","18-39 anni",2014,65568
"806","Totale","Totale","18-39 anni",2015,70195
"807","Totale","Totale","18-39 anni",2016,79036
"808","Totale","Totale","18-39 anni",2017,78609
"809","Totale","Totale","18-39 anni",2018,80273
"810","Totale","Totale","18-39 anni",2019,94457
"811","Totale","Totale","18-39 anni",2020,81168
"812","Totale","Totale","18-39 anni",2021,78550
"813","Totale","Totale","18-39 anni",2022,76996
"814","Totale","Totale","18-39 anni",2023,84011
"815","Totale","Totale","18-39 anni",2024,103463
"816","Totale","Totale","18-39 anni",2025,75518
"817","Totale","Totale","40-64 anni",2002,10358
"818","Totale","Totale","40-64 anni",2003,12922
"819","Totale","Totale","40-64 anni",2004,13412
"820","Totale","Totale","40-64 anni",2005,14486
"821","Totale","Totale","40-64 anni",2006,15948
"822","Totale","Totale","40-64 anni",2007,13059
"823","Totale","Totale","40-64 anni",2008,15888
"824","Totale","Totale","40-64 anni",2009,16938
"825","Totale","Totale","40-64 anni",2010,18125
"826","Totale","Totale","40-64 anni",2011,22544
"827","Totale","Totale","40-64 anni",2012,30927
"828","Totale","Totale","40-64 anni",2013,35107
"829","Totale","Totale","40-64 anni",2014,37383
"830","Totale","Totale","40-64 anni",2015,40127
"831","Totale","Totale","40-64 anni",2016,40851
"832","Totale","Totale","40-64 anni",2017,40310
"833","Totale","Totale","40-64 anni",2018,41088
"834","Totale","Totale","40-64 anni",2019,48295
"835","Totale","Totale","40-64 anni",2020,41134
"836","Totale","Totale","40-64 anni",2021,42263
"837","Totale","Totale","40-64 anni",2022,39947
"838","Totale","Totale","40-64 anni",2023,40133
"839","Totale","Totale","40-64 anni",2024,47785
"840","Totale","Totale","40-64 anni",2025,37348
"841","Totale","Totale","65 anni e più",2002,2834
"842","Totale","Totale","65 anni e più",2003,4072
"843","Totale","Totale","65 anni e più",2004,4179
"844","Totale","Totale","65 anni e più",2005,4699
"845","Totale","Totale","65 anni e più",2006,5735
"846","Totale","Totale","65 anni e più",2007,3423
"847","Totale","Totale","65 anni e più",2008,3654
"848","Totale","Totale","65 anni e più",2009,3521
"849","Totale","Totale","65 anni e più",2010,3686
"850","Totale","Totale","65 anni e più",2011,4886
"851","Totale","Totale","65 anni e più",2012,6755
"852","Totale","Totale","65 anni e più",2013,8003
"853","Totale","Totale","65 anni e più",2014,7741
"854","Totale","Totale","65 anni e più",2015,8516
"855","Totale","Totale","65 anni e più",2016,7833
"856","Totale","Totale","65 anni e più",2017,8365
"857","Totale","Totale","65 anni e più",2018,8334
"858","Totale","Totale","65 anni e più",2019,9120
"859","Totale","Totale","65 anni e più",2020,9387
"860","Totale","Totale","65 anni e più",2021,10959
"861","Totale","Totale","65 anni e più",2022,11121
"862","Totale","Totale","65 anni e più",2023,13357
"863","Totale","Totale","65 anni e più",2024,13729
"864","Totale","Totale","65 anni e più",2025,14451
