"year","US","Germany","Netherlands","France","Spain","Italy"
2000,-0.00666138341463869,0.0174873047352302,0.0147666921340136,0.0209633423822467,0.0247948939624672,0.0232064816854894
2001,-0.0266559279269484,0.0124994114302338,0.00393173005710675,0.0124780501558015,0.0134264358840107,0.0201255364173179
2002,-0.0130801768813428,-0.00284084487033283,-0.0120659709941808,0.00594342249355412,0.00729758441215814,0.0101131270136979
2003,0.0082615454562112,-0.0115680449667443,-0.0194958370943455,0.000538496958506324,0.00175762499735051,0.00608236401293344
2004,0.00557448293387364,-0.00255196217421323,-0.007261806537049,0.0131166564011396,0.00402611577955694,0.0139115734143176
2005,0.00760987873892045,-0.00580883393170075,-0.00280034402895388,0.00886491976339137,0.00478399854903577,0.0165150429163835
2006,0.011636955259545,0.0193164201564386,0.0106172294006415,0.0174428132318906,0.01020038042001,0.027322184383956
2007,0.00990839089514639,0.0213626602873549,0.0203280756126123,0.021165305010977,0.00303346230382504,0.0283677927288214
2008,-0.0356954415832274,0.0100424699530025,0.0157251671843966,0.00646922585144885,-0.014129684124387,0.0134199946878685
2009,-0.0226581696256274,-0.0511044022228627,-0.0317820454225369,-0.0271160314015718,-0.0433474956203326,-0.0307269178757145
2010,-0.00155355243635855,0.0192790785434364,-0.000828723803797206,-0.00128903354337389,-0.02052601251998,0.00855219859538965
2011,-0.0102604384050003,0.0276247932563598,0.00522424820737691,0.00799668193509269,-0.023008009958437,0.00356701019865097
2012,-0.0122644855400213,-0.000997196184812935,-0.0131096684748087,-0.00526722320104558,-0.0365937599857934,-0.0186319703047021
2013,-0.00014391224784404,-0.00645610629689478,-0.0103208186160605,-0.00369085303047477,-0.026854671709891,-0.0207977819743249
2014,0.000592385579752042,0.00501177019183748,0.000950131773836965,-0.000944399414547461,-0.00552617785784849,-0.0105132037698697
2015,-0.0025275685151855,0.0013014915973235,-0.000598168378673977,0.00285057360685339,0.0207776206305772,-0.00548786304660612
2016,-0.00104029065575924,0.00939611075518848,0.0068468052966185,0.00301323177829776,0.0202347684846957,0.00342540306207045
2017,0.0077383533080582,0.019695047509512,0.0112577648715195,0.0152572772953237,0.0245611128931527,0.0100022513713622
2018,0.00176005745981853,0.0105214114632031,0.00987116443243652,0.0170611142032098,0.024820739089932,0.00717545973750508
2019,0.0138966926102682,0.0111935787952952,0.00894109498077541,0.0242078891308501,0.0220377500076856,0.00511641914460333
2020,-0.0212872124992923,-0.0348609005324241,-0.0485021063203959,-0.0659989067219922,-0.100924820590956,-0.0906705382166053
2021,0.0308282190117072,0.0228489998755352,0.0212697796750963,0.0232483293774881,0.0326737000735782,0.0402710747189098
2022,0.00094696815179305,0.017034487061287,0.0285992995096376,0.0141328257454391,0.0340867213528417,0.030456568978444
2023,0.0166920782799812,-0.0033923962595004,-0.0113217193236578,0.00983235336614863,0.00411819649508463,0.0142025539350083
2024,0.0111668807184255,-0.00465909364286729,-0.0050441733825504,0.0079594955946053,0.0115081530092884,0.00791831901653156
