"coefficient","value"
"Germany_pi_lag_Germany",0.760220520264742
"Germany_pi_US",0.239779479735258
"Netherlands_pi_lag_Netherlands",0.673196122286632
"Netherlands_pi_US",0.326803877713368
"France_pi_lag_France",0.777301758846014
"France_pi_US",0.222698241153986
"Spain_pi_lag_Spain",0.899942088884883
"Spain_pi_US",0.100057911115117
"Italy_pi_lag_Italy",0.858534606231604
"Italy_pi_US",0.141465393768396
