"year","Germany","Netherlands","France","Spain","Italy"
2000,-0.0158775104937467,0.0124630461797832,0.00485647223725003,0.00692131177149428,4.67610469382929e-05
2001,0.00962636838537867,0.0113192437209779,0.00119942057937881,0.00756757740127011,0.0109756297681581
2002,0.00105184592731369,0.0051155482559356,0.00298868481559928,0.00214626942908139,0.00482952623503722
2003,0.000613738733442006,-0.00464743981567328,0.000853713770069951,0.00266721680292976,0.00255574174351372
2004,-0.00600671436639708,-0.013551896263704,-0.00465023085745268,-9.4476227031827e-05,-0.00524463355576311
2005,-0.0119909891077468,-0.000117367629395942,-0.00114204817912724,0.00315007014776832,-0.00672531326121802
2006,-0.00733093891167299,0.00184049716412068,-0.00241590652583416,-0.00040460477562116,-0.000295943344369592
2007,0.00882196138289154,-0.00516041439925732,0.00252705147792776,-0.00347833385340721,0.00194947008088124
2008,-0.0153826601463179,-0.0048404868236671,-0.00580895338329016,-0.0118655008326192,-0.00366109129536969
2009,0.0173516105405173,-0.00481361974475559,-0.0119437849635029,-0.0173884889105675,0.000142160552291885
2010,-0.0105878258090512,0.000447000426176611,0.0074973133710697,-0.000284910340381672,-0.010721564743948
2011,0.00197421422136672,-0.00908336862480744,-0.00453828500101854,-0.00615648782037031,0.0091041224056925
2012,-0.00118901522360277,0.00317850501202856,-0.0015479975442845,-0.00328700694904645,-0.00146826720624799
2013,0.00695617703753522,-0.000179428705641783,-0.00273748957379325,0.00538151982049579,-0.00445548534068232
2014,-1.40065165266448e-05,-0.00935560146044684,-0.0035934115497013,-0.00771364599384585,-0.00284542575873153
2015,-0.00112111184840814,0.000882123403289428,0.00300575909423619,0.00576740057275404,-0.00236268692124362
2016,-0.00209947146742546,-0.00224580767722936,-0.00492488463347411,-0.001834221825501,0.00487441449538989
2017,0.00217880372244863,0.00640039099772467,-0.000953656414464182,0.00790437235154976,-0.00534861525241198
2018,-6.2331361928708e-06,0.00531431353876148,-0.000331548323067549,-0.00253388860778989,0.000211384460856162
2019,0.00366561151986725,0.0100747743505168,0.00143209497848727,0.00267136468801695,1.24803042776036e-05
2020,0.00191720049475128,0.00268365069753283,0.0196381326379793,-0.00164991490964664,0.00648388961286982
2021,0.00177147813791292,-0.00437468206463391,-0.0214344285023514,0.0102544171532535,-0.00752587578239575
2022,0.0226140687265084,0.0151648046176951,0.00235655143170793,0.0150956113657195,0.0116268126025538
2023,0.0098621524087143,0.0104733268278724,0.0184781061102689,0.016106359603131,0.0264497586546818
2024,-0.0254078646757829,0.00544408157458381,-0.0235061349296554,-0.028841915416692,-0.036272747785072
