"year","US","Germany","Netherlands","France","Spain","Italy"
2000,0.00681937454397072,0.000747059234120865,0.00771227701979269,-0.000964548124093258,-0.000245712029136131,-0.00991997994569484
2001,0.0207547924352489,-0.00357464154287923,-0.00114577938226507,-0.00131364779297774,0.0033244033313215,-0.006868301462698
2002,0.0152735874160294,-0.00560360753803347,-0.00307332455151751,-0.00128561648229423,0.00336425833203614,-0.00461042526625493
2003,-0.000525648883508867,-0.00466242696410753,0.00351002232763385,0.00115829441331365,0.00414270653278201,-0.00212413413473245
2004,-0.00438916421564815,-0.00616672652369088,0.00119951526223143,-0.00248044589466545,0.00199347251077817,-0.00106958235662872
2005,-0.00782077278001891,-0.00697740215942391,0.00100842396916162,-0.0030697648395717,0.0013809347089135,0.000273890694689326
2006,-0.0127178098833094,-0.00835135491319432,0.00843676508037899,-0.00405221705244485,0.000734208150782801,-0.00315287530884216
2007,-0.0145416680463574,-0.00852982458440139,0.00159976205190358,-0.00637348394384289,-0.00109750861939709,0.00247701583468913
2008,0.0129210969198587,-0.00635818846895462,5.18463547673695e-05,-0.00480175395376546,-0.00156288368640354,0.00456672363675696
2009,0.0021944391256765,-0.00326507137231937,0.000854122132577854,-0.00523208138755289,-0.0029349081773981,0.00530057951556809
2010,-0.0109079120845162,-0.00624957252281281,0.00102160571678908,-0.0076332459785149,-0.00426740730526453,0.000715347932016122
2011,-0.0118251425285121,-0.00268010458139336,-0.00270839821365243,-0.00650814811833593,0.000454033133728743,0.000941713090521948
2012,-0.00424493791252023,0.000969457108479012,0.00147243687454589,-0.00360842371092197,0.000721617972692802,0.00280079078292634
2013,-0.000938708344027692,0.00332799656206786,0.00185359346223091,-0.000269252342059715,0.00230472031526549,0.00219637135766275
2014,-0.00205976290146265,0.00332387964636269,-0.000907547206171148,0.00345624882594555,0.00405038967700033,-0.000286127635665837
2015,0.000204001194300141,0.00292705026841645,-0.00497943915331864,0.00495633030060132,-0.000178670779902669,0.000788484733454664
2016,0.00110622098572052,0.00294671304345825,0.00228844458376095,0.00697612795423554,-0.00412729334584329,0.000735271767776616
2017,0.00123601740763755,0.00153621342302632,0.000109320819727123,0.00973255282983161,-0.00476060556506387,0.00130612689733559
2018,0.00809695351938476,0.00412382832950684,0.00536840626671711,0.00418676942566384,-0.00747430392259599,0.00396103295101734
2019,0.00385003855416162,0.00342697328926096,0.00496157344908472,-0.00753787506894034,-0.00810315093525389,0.00425797819696726
2020,-0.0257884567413184,0.00127683488779485,0.0113714987836922,-0.0181324329311721,0.00142814007547951,-0.0086507745758127
2021,-0.0212109781433612,-0.00101641369184437,0.00111106088060298,-0.00639016283132973,-0.000230355024926743,-0.00507555007802221
2022,0.0166338084767227,0.00299303495505019,-0.00225841868632271,0.00230472795617473,0.000217745023983897,-0.00235569837916692
2023,0.015021933904872,0.00425336439380341,-0.00682588226672907,0.00587915288613952,0.00336861945011068,0.000803751345262838
2024,NA,0.00528346202250006,-0.0113578805441982,0.00827627499997596,0.00682822689695206,0.00251506309222062
